retriever,faithfulness,answer_relevancy,context_precision,context_recall
Naive,0.7786172161172161,0.7946670977353238,0.8333333332541667,0.8166666666666668
BM25,0.8208573833573833,0.484477993961654,0.7083333332624999,0.6944444444444445
Multi-Query,0.8390151515151515,0.7226773462384805,,0.8333333333333334
Parent-Document,0.8305555555555556,0.765725307251287,0.916666666575,0.8888888888888888
Contextual-Compression,0.8301282051282052,0.7892890209138014,0.7083333332624999,0.8333333333333334
Ensemble,0.8598484848484849,0.7112428931916175,0.8333333332541667,0.7611111111111111
